/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,211,498,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,220,691,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,226,664,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,231,850,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,247,874,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,250,531,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,270,671,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,272,742,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,274,573,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,274,656,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,281,811,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,283,518,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,301,797,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,305,705,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,304,647,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,310,580,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,311,744,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,316,826,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,322,791,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,334,534,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,339,948,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,345,470,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,348,497,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,355,92,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,358,705,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,360,642,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,365,852,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,365,348,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,367,588,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,366,699,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,374,788,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,377,804,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,378,379,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,379,839,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,376,744,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,379,628,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,383,555,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,392,904,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,398,508,60,60
/home/fillan/Documents/ML/Lmx1b/Image 1 Rescaled.tif,2609,3846,Cell,397,592,60,60
