/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,40,705,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,43,302,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,48,554,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,50,433,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,69,525,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,70,809,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,76,772,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,79,613,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,94,747,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,100,314,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,105,428,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,109,363,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,109,955,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,121,687,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,123,473,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,126,734,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,137,360,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,150,481,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,153,957,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,152,702,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,158,515,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,159,992,60,60
/media/fillan/LINUX MINT/ML/Atoh1/Image 1 Rescaled.tif,2609,3846,Cell,164,886,60,60
